"","AUC","low_ci","high_ci","sd","cond","sid","sidc","ord"
"SID#1",0.832516083,0.7317417,0.921053,0.0577952933425089,"high",1,"SID#1",14
"SID#2",0.893909525,0.81944905,0.9555581,0.0415962132839389,"high",2,"SID#2",19
"SID#3",0.765877379,0.65184005,0.86585675,0.0651390495106776,"high",3,"SID#3",10
"SID#4",0.780948385,0.6722954,0.878788,0.0615204149117973,"high",4,"SID#4",11
"SID#5",0.882250558,0.8003565,0.9488741,0.0465493393884611,"high",5,"SID#5",17
"SID#6",0.890300322,0.81138375,0.95589935,0.0440976419771654,"high",6,"SID#6",18
"SID#7",0.829170909,0.74316575,0.911765,0.0520733034345557,"high",7,"SID#7",13
"SID#8",0.84350805,0.72424245,0.94420105,0.0668317001919602,"high",8,"SID#8",15
"SID#9",0.590151182,0.4646456,0.7143461,0.0780694493213332,"high",9,"SID#9",2
"SID#10",0.618131906,0.5283577,0.70314245,0.0529500388594606,"high",10,"SID#10",4
"SID#11",0.59294713,0.44796465,0.74196845,0.0902521530179834,"high",11,"SID#11",3
"SID#12",0.70512834,0.5753889,0.82729015,0.0765063002500994,"high",12,"SID#12",8
"SID#13",0.411047209,0.269896,0.56231315,0.0877508768169154,"high",13,"SID#13",1
"SID#14",0.670483668,0.57610165,0.75760045,0.0556130159323235,"high",14,"SID#14",7
"SID#16",0.669570788,0.5437364,0.78984805,0.076733735637997,"high",16,"SID#16",6
"SID#18",0.643273141,0.51559605,0.7580221,0.0743095485777093,"high",18,"SID#18",5
"SID#19",0.794822174,0.69579475,0.8846181,0.0584095016118977,"high",19,"SID#19",12
"SID#20",0.863027376,0.78337235,0.9384306,0.0481124398274165,"high",20,"SID#20",16
"SID#15",0.736435691,0.63824615,0.8316414,0.0583617956710164,"high",15,"SID#15",9
