"","avg","low_ci","high_ci","sd","p.value","cond","sid","sidc"
"SID#16",0.4771588209337,0.382395899876843,0.560483719641839,0.0556400616640298,1.80993837410918e-08,"low",16,"SID#16"
"SID#50",0.479205180895949,0.372965596582653,0.57336144594785,0.0609633140404831,7.22434527850814e-08,"low",50,"SID#50"
"SID#51",0.447928341654199,0.320834358579712,0.568550453757952,0.075604613341228,1.30983713406371e-06,"low",51,"SID#51"
"SID#19",0.0890917184314189,-0.0636623921580772,0.232889771719224,0.0898511964647414,0.281942587759069,"low",19,"SID#19"
"SID#20",0.0546405925660768,-0.105078851586164,0.203744388319752,0.0938542670326607,0.417495072692826,"low",20,"SID#20"
"SID#21",0.20370831079272,0.0587112894364524,0.338902244699216,0.0849285356762771,0.0199586580751497,"low",21,"SID#21"
"SID#22",0.0603120073385729,-0.0925430976205941,0.202591837702518,0.0917409490400858,0.375047749935792,"low",22,"SID#22"
"SID#23",0.215456727776462,0.0636810080713607,0.371018111279077,0.0918099035789,0.0247341503918631,"low",23,"SID#23"
"SID#24",0.0185011000082305,-0.113024825893244,0.14946026469596,0.0806154618292902,0.532511365009279,"low",24,"SID#24"
"SID#25",0.396630763602071,0.255165001047894,0.528390217685895,0.0838623192157982,4.21942265501419e-05,"low",25,"SID#25"
"SID#26",0.456906529845811,0.338546061248718,0.555201189340778,0.0648880680018011,5.30535876153386e-08,"low",26,"SID#26"
"SID#27",0.282383204544892,0.141564886278447,0.422085775128898,0.085873358599873,0.00265394773365032,"low",27,"SID#27"
"SID#28",0.282383204544892,0.141564886278447,0.422085775128898,0.085873358599873,0.00265394773365032,"low",28,"SID#28"
"SID#29",0.397737183996291,0.251537676382,0.527714789149763,0.0849250632002256,7.91527505792084e-05,"low",29,"SID#29"
"SID#30",0.32491168070528,0.168946233288196,0.47794956273537,0.0921139467886816,0.00124279166329635,"low",30,"SID#30"
"SID#32",-0.0208794985031255,-0.181912843567108,0.148627748238122,0.100056883874516,0.513016393838577,"low",32,"SID#32"
"SID#33",0.163225177277365,-0.00507049576274097,0.312818716225708,0.0992282647530351,0.0658344052609769,"low",33,"SID#33"
"SID#41",0.167262283476926,0.00999395446220945,0.307105817415211,0.0907851266685775,0.0392247398794955,"low",41,"SID#41"
"SID#34",0.356790892817324,0.213632079662341,0.489765873311894,0.0836021657319767,7.16452296557133e-05,"low",34,"SID#34"
"SID#35",0.36520750479741,0.233075771848044,0.490358750867344,0.081473326315037,0.000156253137165441,"low",35,"SID#35"
"SID#36",0.439545815685395,0.298610055528478,0.562699702608275,0.0798590459594273,4.18197098402189e-06,"low",36,"SID#36"
