"","value","low_ci","high_ci","se","p.value","cond","sid","sidc","ord"
"SID#16",0.487949523189192,0.385832678724656,0.579551144282208,0.000593012712854282,8.34001535078074e-09,"high",16,"SID#16",20
"SID#50",0.492943881497999,0.384064126106908,0.586563344076726,0.000620384310565107,2.5753291826349e-08,"high",50,"SID#50",21
"SID#51",0.439873214461778,0.304476036818118,0.566635350524909,0.000797400848756353,1.80187839868759e-06,"high",51,"SID#51",18
"SID#19",0.0888876911115915,-0.059342228808248,0.24073435363285,0.000910473428832446,0.312002669784956,"high",19,"SID#19",6
"SID#20",0.0507798522204439,-0.09856152849295,0.205551547495543,0.000924301143761061,0.442094877221761,"high",20,"SID#20",4
"SID#21",0.0177915658508881,-0.129931225922216,0.165888960928829,0.000895575619678388,0.491788373918872,"high",21,"SID#21",2
"SID#22",0.0513117751131266,-0.0999500575990671,0.204703753445936,0.000923580773291537,0.422808967585769,"high",22,"SID#22",5
"SID#23",0.211096412202497,0.0680208344925456,0.3516753351933,0.000869226183258626,0.0249224605948939,"high",23,"SID#23",9
"SID#24",0.0447254642176563,-0.0912762038085258,0.18049021027993,0.000832252692300321,0.465471656067839,"high",24,"SID#24",3
"SID#25",0.398087692430539,0.258232637763662,0.530922859578624,0.000825364268605147,4.09303366126183e-05,"high",25,"SID#25",17
"SID#26",0.470417372042245,0.364650691469432,0.565513973716115,0.000613398013458379,2.23068741052641e-08,"high",26,"SID#26",19
"SID#27",0.321497221597912,0.202127941770973,0.433915975259094,0.00071390927485094,0.000152785133244033,"high",27,"SID#27",13
"SID#28",0.316749475511941,0.181152825576329,0.450650171941501,0.000821940806328541,0.000500730980441689,"high",28,"SID#28",12
"SID#29",0.336646613496755,0.186932444183997,0.477790165511013,0.000883813091756055,0.000857085118989535,"high",29,"SID#29",14
"SID#30",0.304371015441101,0.143243457007479,0.45804594257012,0.000958598354380135,0.00263338831137581,"high",30,"SID#30",10
"SID#32",-0.020686543155167,-0.187844536694709,0.143650231101987,0.00101002356543898,0.493142554641997,"high",32,"SID#32",1
"SID#33",0.163696306665867,-0.00831094018955649,0.327035684733511,0.0010230552466889,0.0800314389856357,"high",33,"SID#33",8
"SID#41",0.151347035914362,-0.00205181763576115,0.297143497831923,0.000911067168369186,0.0703507686865137,"high",41,"SID#41",7
"SID#34",0.368929192526713,0.240582692847156,0.486803520402129,0.000749341634634335,1.5371135613189e-05,"high",34,"SID#34",15
"SID#35",0.30916394878789,0.163023419138018,0.452410993302507,0.000878263751212848,0.00221025970451928,"high",35,"SID#35",11
"SID#36",0.387332377548699,0.249480286389561,0.518753065125616,0.000819041782448423,3.50021862011476e-05,"high",36,"SID#36",16
